index,image,title,location,price,condition
119742975,https://media.guitarcenter.com/is/image/MMGS7/C10-Acoustic-Electric-Guitar/000000119742975-00-600x600.jpg,Used Collings C10 Acoustic Electric Guitar,"Twin Cities, MN","$3,999.99",Excellent
119743002,https://media.guitarcenter.com/is/image/MMGS7/Malibu-Player-ARG-Acoustic-Electric-Guitar/000000119743002-00-600x600.jpg,Used Fender Malibu Player ARG Acoustic Electric Guitar,"Southfield, MI",$379.99,Excellent
119731069,https://media.guitarcenter.com/is/image/MMGS7/F-250E-DELUXE-Acoustic-Electric-Guitar/000000119731069-00-600x600.jpg,Used Guild F-250E DELUXE Acoustic Electric Guitar,"Goodlettsville, TN",$499.99,Excellent
119740564,https://media.guitarcenter.com/is/image/MMGS7/PURSUIT-EX-S-CONCERT-MYRTLEWOOD-Acoustic-Electric-Guitar/000000119740564-00-600x600.jpg,Used Breedlove PURSUIT EX S CONCERT MYRTLEWOOD Acoustic Electric Guitar,"Danbury, CT",$629.99,Excellent
119731986,https://media.guitarcenter.com/is/image/MMGS7/GD93-Acoustic-Guitar/000000119731986-00-600x600.jpg,Used Takamine GD93 Acoustic Guitar,"Austin, TX",$399.99,Excellent
119740394,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-e-Acoustic-Electric-Guitar/000000119740394-00-600x600.jpg,Used Taylor GS Mini-e Acoustic Electric Guitar,"Erie, PA",$604.99,Excellent
119735277,https://media.guitarcenter.com/is/image/MMGS7/2023-LLTA-Acoustic-Electric-Guitar/000000119735277-00-600x600.jpg,Used Yamaha 2023 LLTA Acoustic Electric Guitar,"Seven Corners, VA",$824.99,Excellent
119738093,https://media.guitarcenter.com/is/image/MMGS7/314CE-Acoustic-Electric-Guitar/000000119738093-00-600x600.jpg,Used Taylor 314CE Acoustic Electric Guitar,"Orange, CT","$1,699.99",Excellent
119730667,https://media.guitarcenter.com/is/image/MMGS7/J45-Standard-Acoustic-Electric-Guitar/000000119730667-00-600x600.jpg,Used Gibson J45 Standard Acoustic Electric Guitar,"Marietta, GA","$2,179.99",Excellent
119730142,https://media.guitarcenter.com/is/image/MMGS7/Used-Enya-EA-X4-Pro-Black-Acoustic-Electric-Guitar/000000119730142-00-600x600.jpg,Used Used Enya EA-X4 Pro Black Acoustic Electric Guitar,"Denton, TX",$649.99,Excellent
119730768,https://media.guitarcenter.com/is/image/MMGS7/D16E-Acoustic-Electric-Guitar/000000119730768-00-600x600.jpg,Used Martin D16E Acoustic Electric Guitar,"Little Rock, AR","$1,499.99",Excellent
119735171,https://media.guitarcenter.com/is/image/MMGS7/E10P-Acoustic-Guitar/000000119735171-00-600x600.jpg,Used Eastman E10P Acoustic Guitar,"Johnson City, NY",$949.99,Excellent
119712914,https://media.guitarcenter.com/is/image/MMGS7/2023-HIGHWAY-SERIES-DREADNOUGHT-MAHOGANY-Acoustic-Electric-Guitar/000000119712914-00-600x600.jpg,Used Fender 2023 HIGHWAY SERIES DREADNOUGHT MAHOGANY Acoustic Electric Guitar,"Lake Forest, CA",$799.99,Excellent
119735764,https://media.guitarcenter.com/is/image/MMGS7/FG830-Acoustic-Guitar/000000119735764-00-600x600.jpg,Used Yamaha FG830 Acoustic Guitar,"Indianapolis, IN",$259.99,Excellent
119737778,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Koa-Acoustic-Guitar/000000119737778-00-600x600.jpg,Used Taylor GS Mini Koa Acoustic Guitar,"Indianapolis, IN",$769.99,Excellent
119724381,https://media.guitarcenter.com/is/image/MMGS7/Used-Kepma-D2-131A-Natural-Acoustic-Electric-Guitar/000000119724381-00-600x600.jpg,Used Used Kepma D2-131A Natural Acoustic Electric Guitar,"Goodlettsville, TN",$729.99,Excellent
119726636,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Rosewood-Acoustic-Guitar/000000119726636-00-600x600.jpg,Used Taylor GS Mini Rosewood Acoustic Guitar,"Atlanta, GA",$499.99,Excellent
119735537,https://media.guitarcenter.com/is/image/MMGS7/RC58TT-Acoustic-Guitar/000000119735537-00-600x600.jpg,Used Regal RC58TT Acoustic Guitar,"Orange, CT",$449.99,Excellent
119729256,https://media.guitarcenter.com/is/image/MMGS7/D16E-Acoustic-Electric-Guitar/000000119729256-00-600x600.jpg,Used Martin D16E Acoustic Electric Guitar,"Virginia Beach, VA","$1,499.99",Excellent
119731803,https://media.guitarcenter.com/is/image/MMGS7/Paramount-PM-3-Deluxe-Acoustic-Electric-Guitar/000000119731803-00-600x600.jpg,Used Fender Paramount PM-3 Deluxe Acoustic Electric Guitar,"Orange, CT",$699.99,Excellent
119731781,https://media.guitarcenter.com/is/image/MMGS7/AD14CE-Acoustic-Electric-Guitar/000000119731781-00-600x600.jpg,Used Taylor AD14CE Acoustic Electric Guitar,"Manchester, CT","$1,699.99",Excellent
119721851,https://media.guitarcenter.com/is/image/MMGS7/APX600-Acoustic-Electric-Guitar/000000119721851-00-600x600.jpg,Used Yamaha APX600 Acoustic Electric Guitar,"Jackson, MS",$254.99,Excellent
119708373,https://media.guitarcenter.com/is/image/MMGS7/D-X2-Acoustic-Electric-Guitar/000000119708373-00-600x600.jpg,Used Martin D-X2 Acoustic Electric Guitar,"Palmdale, CA",$499.99,Excellent
119732357,https://media.guitarcenter.com/is/image/MMGS7/RM997-VG-Acoustic-Guitar/000000119732357-00-600x600.jpg,Used Recording King RM997 VG Acoustic Guitar,"South Springfield, MO",$649.99,Excellent
119706044,https://media.guitarcenter.com/is/image/MMGS7/Used-TAGIMA-TW29-Natural-Acoustic-Guitar/000000119706044-00-600x600.jpg,Used Used TAGIMA TW29 Natural Acoustic Guitar,"Brea, CA",$199.99,Excellent
119732242,https://media.guitarcenter.com/is/image/MMGS7/A60-Acoustic-Electric-Guitar/000000119732242-00-600x600.jpg,Used PRS A60 Acoustic Electric Guitar,"Kansas City, MO",$799.99,Excellent
119706036,https://media.guitarcenter.com/is/image/MMGS7/D41-Acoustic-Guitar/000000119706036-00-600x600.jpg,Used Martin D41 Acoustic Guitar,"Hollywood, CA","$4,199.99",Excellent
119727077,https://media.guitarcenter.com/is/image/MMGS7/224CEKDLX-Acoustic-Electric-Guitar/000000119727077-00-600x600.jpg,Used Taylor 224CEKDLX Acoustic Electric Guitar,"Seven Corners, VA","$1,529.99",Excellent
119732216,https://media.guitarcenter.com/is/image/MMGS7/214ce-Plus-Acoustic-Electric-Guitar/000000119732216-00-600x600.jpg,Used Taylor 214ce Plus Acoustic Electric Guitar,"Crestwood, MO",$999.99,Excellent
119706038,https://media.guitarcenter.com/is/image/MMGS7/FA125CE-Dreadnaught-Acoustic-Electric-Guitar/000000119706038-00-600x600.jpg,Used Fender FA125CE Dreadnaught Acoustic Electric Guitar,"Lake Forest, CA",$149.99,Excellent
119727173,https://media.guitarcenter.com/is/image/MMGS7/TRAMONTANE-THV30DCE-Acoustic-Electric-Guitar/000000119727173-00-600x600.jpg,Used Lag Guitars TRAMONTANE THV30DCE Acoustic Electric Guitar,"Oxford Valley, PA","$1,100.99",Excellent
119704085,https://media.guitarcenter.com/is/image/MMGS7/616CE-Acoustic-Electric-Guitar/000000119704085-00-600x600.jpg,Used Taylor 616CE Acoustic Electric Guitar,"Brea, CA","$2,900.99",Excellent
119720759,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Koa-Acoustic-Guitar/000000119720759-00-600x600.jpg,Used Taylor GS Mini Koa Acoustic Guitar,"Tulsa, OK",$849.99,Excellent
119730431,https://media.guitarcenter.com/is/image/MMGS7/Road-Series-GPC-13E-Acoustic-Electric-Guitar/000000119730431-00-600x600.jpg,Used Martin Road Series GPC- 13E Acoustic Electric Guitar,"Maple Grove, MN","$1,099.99",Excellent
119725032,https://media.guitarcenter.com/is/image/MMGS7/American-Acoustasonic-Stratocaster-Acoustic-Electric-Guitar/000000119725032-00-600x600.jpg,Used Fender American Acoustasonic Stratocaster Acoustic Electric Guitar,"Virginia Beach, VA","$1,349.99",Excellent
119729688,https://media.guitarcenter.com/is/image/MMGS7/P20-Acoustic-Guitar/000000119729688-00-600x600.jpg,Used PRS P20 Acoustic Guitar,"Evansville, IN",$399.99,Excellent
119719171,https://media.guitarcenter.com/is/image/MMGS7/Revival-D-ERE-Acoustic-Electric-Guitar/000000119719171-00-600x600.jpg,Used Breedlove Revival D/ERE Acoustic Electric Guitar,"Alpharetta, GA",$649.99,Excellent
119727563,https://media.guitarcenter.com/is/image/MMGS7/Sonoran-SCE-California-Custom-Dreadnought-Acoustic-Electric-Guitar/000000119727563-00-600x600.jpg,Used Fender Sonoran SCE California Custom Dreadnought Acoustic Electric Guitar,"Manchester, CT",$309.99,Excellent
119729644,https://media.guitarcenter.com/is/image/MMGS7/D-10-Rosewood-Acoustic-Guitar/000000119729644-00-600x600.jpg,Used Larrivee D-10 Rosewood Acoustic Guitar,"Warwick, RI","$2,999.99",Excellent
